,Top Level Class,Second Level Class
Pantothenate and CoA biosynthesis,Metabolism,Metabolism of cofactors and vitamins
"Alanine, aspartate and glutamate metabolism",Metabolism,Amino acid metabolism
"Valine, leucine and isoleucine degradation",Metabolism,Amino acid metabolism
beta-Alanine metabolism,Metabolism,Metabolism of other amino acids
Propanoate metabolism,Metabolism,Carbohydrate metabolism
Butanoate metabolism,Metabolism,Carbohydrate metabolism
GABAergic synapse,Organismal Systems,Nervous system
ABC transporters,Environmental Information Processing,Membrane transport
Fat digestion and absorption,Organismal Systems,Digestive system
Cholesterol metabolism,Organismal Systems,Digestive system
Lysosome,Cellular Processes,Transport and catabolism
Bile secretion,Organismal Systems,Digestive system
MicroRNAs in cancer,Human Diseases,Cancer: overview
Gastric cancer,Human Diseases,Cancer: specific types
Antifolate resistance,Human Diseases,Drug resistance: antineoplastic
Peroxisome,Cellular Processes,Transport and catabolism
Pathogenic Escherichia coli infection,Human Diseases,Infectious disease: bacterial
Salmonella infection,Human Diseases,Infectious disease: bacterial
Regulation of actin cytoskeleton,Cellular Processes,Cell motility
ErbB signaling pathway,Environmental Information Processing,Signal transduction
Ras signaling pathway,Environmental Information Processing,Signal transduction
Viral myocarditis,Human Diseases,Cardiovascular disease
Axon guidance,Organismal Systems,Development and regeneration
Fatty acid degradation,Metabolism,Lipid metabolism
alpha-Linolenic acid metabolism,Metabolism,Lipid metabolism
Biosynthesis of unsaturated fatty acids,Metabolism,Lipid metabolism
PPAR signaling pathway,Organismal Systems,Endocrine system
Fatty acid elongation,Metabolism,Lipid metabolism
Endocytosis,Cellular Processes,Transport and catabolism
Synthesis and degradation of ketone bodies,Metabolism,Lipid metabolism
Lysine degradation,Metabolism,Amino acid metabolism
Tryptophan metabolism,Metabolism,Amino acid metabolism
Pyruvate metabolism,Metabolism,Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism
Terpenoid backbone biosynthesis,Metabolism,Metabolism of terpenoids and polyketides
Sphingolipid metabolism,Metabolism,Lipid metabolism
RNA transport,Genetic Information Processing,Translation
mRNA surveillance pathway,Genetic Information Processing,Translation
Spliceosome,Genetic Information Processing,Transcription
Citrate cycle (TCA cycle),Metabolism,Carbohydrate metabolism
cAMP signaling pathway,Environmental Information Processing,Signal transduction
Thiamine metabolism,Metabolism,Metabolism of cofactors and vitamins
Riboflavin metabolism,Metabolism,Metabolism of cofactors and vitamins
Adherens junction,Cellular Processes,Cellular community - eukaryotes
Osteoclast differentiation,Organismal Systems,Development and regeneration
Rheumatoid arthritis,Human Diseases,Immune disease
Fatty acid biosynthesis,Metabolism,Lipid metabolism
Ferroptosis,Cellular Processes,Cell growth and death
Thermogenesis,Organismal Systems,Environmental adaptation
Adipocytokine signaling pathway,Organismal Systems,Endocrine system
Glycolysis / Gluconeogenesis,Metabolism,Carbohydrate metabolism
Rap1 signaling pathway,Environmental Information Processing,Signal transduction
Phagosome,Cellular Processes,Transport and catabolism
Apoptosis,Cellular Processes,Cell growth and death
Hippo signaling pathway,Environmental Information Processing,Signal transduction
Focal adhesion,Cellular Processes,Cellular community - eukaryotes
Tight junction,Cellular Processes,Cellular community - eukaryotes
Platelet activation,Organismal Systems,Immune system
Leukocyte transendothelial migration,Organismal Systems,Immune system
Thyroid hormone signaling pathway,Organismal Systems,Endocrine system
Oxytocin signaling pathway,Organismal Systems,Endocrine system
Gastric acid secretion,Organismal Systems,Digestive system
Bacterial invasion of epithelial cells,Human Diseases,Infectious disease: bacterial
Vibrio cholerae infection,Human Diseases,Infectious disease: bacterial
Shigellosis,Human Diseases,Infectious disease: bacterial
Yersinia infection,Human Diseases,Infectious disease: bacterial
Influenza A,Human Diseases,Infectious disease: viral
